Unnamed: 0,split,img_filename,img_path,spatial_reference,epsg,category,visible,img_width,img_height,country_code,cloud_cover,timestamp,lat,lon,region,y,year,new_filename
18124,train,dam_792_0_rgb.jpg,train/dam/dam_792/dam_792_0_rgb.jpg,GCS_WGS_1984,4326,dam,True,841,641,USA,0,2012-04-05T16:33:10Z,40.59183143154,-75.94461045634,3,12,10.0,rgb_img_18124.png
278337,train,road_bridge_165_2_rgb.jpg,train/road_bridge/road_bridge_165/road_bridge_165_2_rgb.jpg,GCS_WGS_1984,4326,road_bridge,True,991,782,USA,1,2012-03-04T19:31:34Z,38.22025618683999,-122.1480549076,3,43,10.0,rgb_img_278337.png
83973,train,single-unit_residential_100_0_rgb.jpg,train/single-unit_residential/single-unit_residential_100/single-unit_residential_100_0_rgb.jpg,GCS_WGS_1984,4326,single-unit_residential,True,1071,900,IRQ,0,2010-01-08T07:55:29Z,33.25116259136,44.41090254236,0,47,8.0,rgb_img_83973.png
198990,train,crop_field_3119_1_rgb.jpg,train/crop_field/crop_field_3119/crop_field_3119_1_rgb.jpg,GCS_WGS_1984,4326,crop_field,True,808,576,UKR,0,2004-04-17T08:35:45Z,44.77638580026,34.00079764816,1,11,2.0,rgb_img_198990.png
298466,train,place_of_worship_1533_3_rgb.jpg,train/place_of_worship/place_of_worship_1533/place_of_worship_1533_3_rgb.jpg,GCS_WGS_1984,4326,place_of_worship,True,969,705,FRA,34,2012-12-30T10:41:24Z,43.61300119248,3.873583539288,1,36,10.0,rgb_img_298466.png
353103,train,electric_substation_893_0_rgb.jpg,train/electric_substation/electric_substation_893/electric_substation_893_0_rgb.jpg,GCS_WGS_1984,4326,electric_substation,True,966,818,MEX,0,2010-11-13T18:50:41Z,32.556603258500004,-116.5447184826,3,15,8.0,rgb_img_353103.png
141738,train,recreational_facility_3017_0_rgb.jpg,train/recreational_facility/recreational_facility_3017/recreational_facility_3017_0_rgb.jpg,GCS_WGS_1984,4326,recreational_facility,True,1049,666,DEU,0,2010-03-18T10:55:52Z,50.70866414775999,6.9230251698080005,1,42,8.0,rgb_img_141738.png
276474,train,road_bridge_318_9_rgb.jpg,train/road_bridge/road_bridge_318/road_bridge_318_9_rgb.jpg,GCS_WGS_1984,4326,road_bridge,True,947,845,AUS,0,2009-07-16T23:59:17Z,-27.5101829159,153.2084373424,4,43,7.0,rgb_img_276474.png
287259,train,place_of_worship_690_7_rgb.jpg,train/place_of_worship/place_of_worship_690/place_of_worship_690_7_rgb.jpg,GCS_WGS_1984,4326,place_of_worship,True,989,989,IDN,7,2010-05-07T03:19:15Z,-6.407628717896,106.9478221424,0,36,8.0,rgb_img_287259.png
79567,train,single-unit_residential_67_2_rgb.jpg,train/single-unit_residential/single-unit_residential_67/single-unit_residential_67_2_rgb.jpg,GCS_WGS_1984,4326,single-unit_residential,True,814,471,LTU,2,2010-03-17T09:23:51Z,54.707085193100006,25.31728904236,1,47,8.0,rgb_img_79567.png
160258,train,recreational_facility_3699_3_rgb.jpg,train/recreational_facility/recreational_facility_3699/recreational_facility_3699_3_rgb.jpg,GCS_WGS_1984,4326,recreational_facility,True,1036,905,USA,0,2010-12-18T17:39:12Z,29.572928049580003,-98.64339055764,3,42,8.0,rgb_img_160258.png
123276,train,military_facility_33_2_rgb.jpg,train/military_facility/military_facility_33/military_facility_33_2_rgb.jpg,GCS_WGS_1984,4326,military_facility,True,918,777,SYR,0,2011-08-03T08:54:38Z,32.60719190818001,36.24877954236,0,29,9.0,rgb_img_123276.png
280277,train,airport_hangar_692_2_rgb.jpg,train/airport_hangar/airport_hangar_692/airport_hangar_692_2_rgb.jpg,GCS_WGS_1984,4326,airport_hangar,True,872,652,ITA,0,2009-12-16T10:12:57Z,41.79355749376001,12.592315809060002,1,1,7.0,rgb_img_280277.png
69064,train,hospital_731_2_rgb.jpg,train/hospital/hospital_731/hospital_731_2_rgb.jpg,GCS_WGS_1984,4326,hospital,True,969,611,BEL,5,2011-10-03T11:31:39Z,51.0629332686,3.722611516798,1,24,9.0,rgb_img_69064.png
161320,train,recreational_facility_3923_0_rgb.jpg,train/recreational_facility/recreational_facility_3923/recreational_facility_3923_0_rgb.jpg,GCS_WGS_1984,4326,recreational_facility,True,774,490,POL,7,2012-11-13T09:26:33Z,50.87891865246,15.627614010859997,1,42,10.0,rgb_img_161320.png
27525,train,barn_714_1_rgb.jpg,train/barn/barn_714/barn_714_1_rgb.jpg,GCS_WGS_1984,4326,barn,True,995,692,CAN,10,2010-08-10T15:33:07Z,46.10145340544,-67.27354998744,3,6,8.0,rgb_img_27525.png
281337,train,airport_hangar_60_6_rgb.jpg,train/airport_hangar/airport_hangar_60/airport_hangar_60_6_rgb.jpg,GCS_WGS_1984,4326,airport_hangar,True,973,813,USA,0,2011-12-28T18:50:52Z,33.8042706698,-118.3472790076,3,1,9.0,rgb_img_281337.png
146342,train,recreational_facility_1743_0_rgb.jpg,train/recreational_facility/recreational_facility_1743/recreational_facility_1743_0_rgb.jpg,GCS_WGS_1984,4326,recreational_facility,True,798,491,POL,0,2003-02-16T09:31:21Z,52.17952661846,21.1476599707,1,42,1.0,rgb_img_146342.png
186949,train,crop_field_3127_0_rgb.jpg,train/crop_field/crop_field_3127/crop_field_3127_0_rgb.jpg,GCS_WGS_1984,4326,crop_field,True,997,700,ITA,33,2010-01-18T10:08:07Z,45.56814287086,12.2366117021,1,11,8.0,rgb_img_186949.png
218656,train,interchange_492_0_rgb.jpg,train/interchange/interchange_492/interchange_492_0_rgb.jpg,GCS_WGS_1984,4326,interchange,True,916,769,IRN,22,2011-10-26T07:32:21Z,33.36483768758,51.88970364236,0,26,9.0,rgb_img_218656.png
118700,train,military_facility_985_3_rgb.jpg,train/military_facility/military_facility_985/military_facility_985_3_rgb.jpg,GCS_WGS_1984,4326,military_facility,True,639,506,PRK,0,2011-01-28T02:46:06Z,37.96175524188,126.7139376538,0,29,9.0,rgb_img_118700.png
100368,train,swimming_pool_308_6_rgb.jpg,train/swimming_pool/swimming_pool_308/swimming_pool_308_6_rgb.jpg,GCS_WGS_1984,4326,swimming_pool,True,757,690,ARE,0,2008-04-28T07:24:18Z,25.058713353500004,55.17059824235999,0,54,6.0,rgb_img_100368.png
303034,train,nuclear_powerplant_28_3_rgb.jpg,train/nuclear_powerplant/nuclear_powerplant_28/nuclear_powerplant_28_3_rgb.jpg,GCS_WGS_1984,4326,nuclear_powerplant,True,10573,7549,FRA,1,2012-02-06T11:02:30Z,44.63039293837672,4.7520275994817975,1,31,10.0,rgb_img_303034.png
117163,train,military_facility_845_5_rgb.jpg,train/military_facility/military_facility_845/military_facility_845_5_rgb.jpg,GCS_WGS_1984,4326,military_facility,True,619,409,FRA,8,2009-09-19T11:37:50Z,48.84157713882,2.261098726972,1,29,7.0,rgb_img_117163.png
